id,type,status,title,current_link,slug,url_path,parent_title,page_template,published_date,modified_date,categories,tags,all_wordpress_groupings,primary_structure_group
76,page,publish,"why choose romance books",https://bybookishbabe.com/why-choose-romance-books/,why-choose-romance-books,/why-choose-romance-books/,,Default,"2026-05-19 22:56:25","2026-05-19 22:56:25",,,,"Top-level page"
77,page,publish,"Your Privacy Choices",https://bybookishbabe.com/data-sharing-opt-out/,data-sharing-opt-out,/data-sharing-opt-out/,,Default,"2026-05-19 22:56:25","2026-05-19 22:56:25",,,,"Top-level page"
125,post,publish,"best enemies to lovers romance books (booktok favorites + underrated reads)",https://bybookishbabe.com/best-enemies-to-lovers-romance-books-booktok-favorites-underrated-reads/,best-enemies-to-lovers-romance-books-booktok-favorites-underrated-reads,/best-enemies-to-lovers-romance-books-booktok-favorites-underrated-reads/,,,"2026-05-19 22:57:08","2026-05-19 22:57:08","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
119,post,publish,"best second chance romance books that will make you cry",https://bybookishbabe.com/best-second-chance-romance-books-that-will-make-you-cry/,best-second-chance-romance-books-that-will-make-you-cry,/best-second-chance-romance-books-that-will-make-you-cry/,,,"2026-05-19 22:57:06","2026-05-19 22:57:06","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
101,post,draft,"books like fourth wing (for when xaden riorson ruined you for everyone else)",https://bybookishbabe.com/if-you-liked-fourth-wing-read-these-next/,if-you-liked-fourth-wing-read-these-next,/if-you-liked-fourth-wing-read-these-next/,,,"2026-04-15 15:00:59","2026-04-15 15:00:59","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
120,post,publish,"books like fourth wing but darker",https://bybookishbabe.com/books-like-fourth-wing-but-darker/,books-like-fourth-wing-but-darker,/books-like-fourth-wing-but-darker/,,,"2026-05-19 22:57:06","2026-05-19 22:57:06","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
103,post,publish,"books like haunting adeline (because one read was never going to be enough)",https://bybookishbabe.com/if-you-liked-haunting-adeline-read-these-next/,if-you-liked-haunting-adeline-read-these-next,/if-you-liked-haunting-adeline-read-these-next/,,,"2026-05-19 22:56:47","2026-05-19 22:56:47","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
91,post,publish,"books like insatiable (for when that feeling won't leave you alone)",https://bybookishbabe.com/if-you-liked-insatiable-read-these-next/,if-you-liked-insatiable-read-these-next,/if-you-liked-insatiable-read-these-next/,,,"2026-05-16 20:28:04","2026-05-16 20:28:04","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
90,post,publish,"books like quicksilver (for when he hates you but would still burn the world down for you)",https://bybookishbabe.com/books-like-quicksilver/,books-like-quicksilver,/books-like-quicksilver/,,,"2026-05-16 20:28:04","2026-05-16 20:28:04","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
102,post,publish,"books like say you swear (for when that feeling won't go away)",https://bybookishbabe.com/if-you-liked-say-you-swear-read-these-next/,if-you-liked-say-you-swear-read-these-next,/if-you-liked-say-you-swear-read-these-next/,,,"2026-05-19 22:56:46","2026-05-19 22:56:46","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
99,post,publish,"books like shatter me (for when aaron warner permanently altered your brain chemistry)",https://bybookishbabe.com/if-you-liked-shatter-me-read-these-next/,if-you-liked-shatter-me-read-these-next,/if-you-liked-shatter-me-read-these-next/,,,"2026-05-16 20:28:05","2026-05-16 20:28:05","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
100,post,publish,"books like the ever king (for when him and that ship ruined you for everyone else)",https://bybookishbabe.com/if-you-liked-the-ever-king-read-these-next/,if-you-liked-the-ever-king-read-these-next,/if-you-liked-the-ever-king-read-these-next/,,,"2026-05-16 20:28:05","2026-05-16 20:28:05","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
84,post,publish,"cat and mouse duet reading order — h.d. carlton (haunting adeline)",https://bybookishbabe.com/cat-and-mouse-duet-reading-order-hd-carlton/,cat-and-mouse-duet-reading-order-hd-carlton,/cat-and-mouse-duet-reading-order-hd-carlton/,,,"2026-05-16 20:28:02","2026-05-16 20:28:02","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
127,post,publish,"craving venom review — spice level, tropes, and is it worth it",https://bybookishbabe.com/craving-venom-review/,craving-venom-review,/craving-venom-review/,,,"2026-05-19 22:57:09","2026-05-20 16:56:20","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
98,post,publish,"daggermouth review — h.m. wolfe (spice level, tropes & what to read next)",https://bybookishbabe.com/if-you-liked-daggermouth-read-this-next/,if-you-liked-daggermouth-read-this-next,/if-you-liked-daggermouth-read-this-next/,,,"2026-05-19 22:56:47","2026-05-19 22:56:47","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
